Year,Two Wheelers,"Cars, Jeeps & Taxis",Buses,Goods Vehicle,Other Vehicles,Total - Million
1951,8.8,52,11.1,26.8,1.3,0.3
1961,13.2,46.6,8.6,25.3,6.3,0.7
1971,30.9,36.6,5,18.4,9.1,1.9
1981,48.6,21.5,3,10.3,16.6,5.4
1991,66.4,13.8,1.5,6.3,11.9,21.4
2001,70.1,12.8,1.2,5.4,10.5,55
2002,70.6,12.9,1.1,5,10.4,58.9
2003,70.9,12.8,1.1,5.2,10,67
2004,71.4,13,1.1,5.2,9.4,72.7
2005,72.1,12.7,1.1,4.9,9.1,81.5
2006,72.2,12.9,1.1,4.9,8.8,89.6
2007,71.5,13.1,1.4,5.3,8.7,96.7
2008,71.5,13.2,1.4,5.3,8.6,105.3
2009,71.7,13.3,1.3,5.3,8.4,115
2010,71.7,13.5,1.2,5,8.6,127.7
2011,71.8,13.6,1.1,5,8.5,141.8
2012,72.4,13.5,1,4.8,8.3,159.5
2013,72.7,13.6,1,4.7,8,176
2014,73.1,13.6,1,4.6,7.7,190.7
2015,73.5,13.6,1,4.4,7.5,210